# format	robotrace-shortcut-course-v1
# course_id	2015alljapan
# source_file	examples/synthetic/2015alljapan.json
# source_hash	6e913302c42295310b49615c627cdf177cc89d23dac0ce2c64a5487a12c118ea
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
2260	1244.18652	-345.216644
2270	1251.07581	-352.45929
2280	1258.65356	-358.977936
2290	1266.84436	-364.70752
2300	1275.56628	-369.590759
2310	1284.73206	-373.578888
2320	1294.25012	-376.632019
2330	1304.02551	-378.719696
2340	1313.9408	-380.013672
2350	1323.86572	-381.237
2360	1333.79065	-382.460358
2370	1343.71545	-383.683716
2380	1353.64038	-384.907043
2390	1363.56531	-386.130402
2400	1373.49011	-387.35376
2410	1383.41504	-388.577087
2420	1393.33997	-389.800446
2430	1403.26477	-391.023773
2440	1413.1897	-392.247131
2450	1423.11462	-393.47049
2460	1433.03955	-394.693817
2470	1442.96436	-395.917175
2480	1452.88928	-397.140533
2490	1462.81421	-398.363861
2500	1472.73901	-399.587219
2510	1482.66382	-400.811523
2520	1492.50342	-402.571869
2530	1502.11816	-405.305756
2540	1511.41187	-408.98584
2550	1520.29175	-413.575378
2560	1528.66919	-419.028503
2570	1536.46033	-425.29071
2580	1543.58728	-432.299438
2590	1549.979	-439.98468
2600	1555.57153	-448.269623
2610	1560.30896	-457.071503
2620	1564.14404	-466.302368
2630	1567.03845	-475.869995
2640	1568.96313	-485.678772
2650	1569.89905	-495.630707
2660	1569.83667	-505.626343
2670	1568.77673	-515.565796
2680	1566.72986	-525.349854
2690	1563.71643	-534.880615
2700	1559.76648	-544.062927
2710	1554.91968	-552.805054
2720	1549.22424	-561.019592
2730	1542.73718	-568.624573
2740	1535.52332	-575.543884
2750	1527.65479	-581.708435
2760	1519.21008	-587.056641
2770	1510.27356	-591.535095
2780	1500.93469	-595.098999
2790	1491.28662	-597.712769
2800	1481.42578	-599.350281
2810	1471.45081	-599.995117
2820	1461.46118	-599.640991
2830	1451.55701	-598.29126
2840	1441.83691	-595.959534
2850	1432.39819	-592.669067
2860	1423.33508	-588.452759
2870	1414.73828	-583.352722
2880	1406.68689	-577.428162
2890	1398.52161	-571.662292
2900	1389.82153	-566.740356
2910	1380.67346	-562.711609
2920	1371.16895	-559.616272
2930	1361.40295	-557.485291
2940	1351.4729	-556.339844
2950	1341.47827	-556.191528
2960	1331.51855	-557.041748
2970	1321.6936	-558.882019
2980	1312.10144	-561.69397
2990	1302.83789	-565.449524
3000	1293.99561	-570.111084
3010	1285.66284	-575.63208
3020	1277.69775	-581.676147
3030	1269.25574	-587.028748
3040	1260.32166	-591.511841
3050	1250.98462	-595.080566
3060	1241.33789	-597.699341
3070	1231.47791	-599.34198
3080	1221.5033	-599.992065
3090	1211.51355	-599.643066
3100	1201.60852	-598.298523
3110	1191.88721	-595.971863
3120	1182.44678	-592.68634
3130	1173.38159	-588.47467
3140	1164.7821	-583.379089
3150	1156.73425	-577.450439
3160	1149.31848	-570.747986
3170	1142.60889	-563.338623
3180	1136.67249	-555.296509
3190	1131.53552	-546.720215
3200	1126.10095	-538.330811
3210	1119.85608	-530.525818
3220	1112.86304	-523.383301
3230	1105.19202	-516.974609
3240	1096.91943	-511.363739
3250	1088.12805	-506.606812
3260	1078.90576	-502.751282
3270	1069.3446	-499.835754
3280	1059.54004	-497.889282
3290	1049.59021	-496.931366
3300	1039.59448	-496.971558
3310	1029.65271	-498.00946
3320	1019.8642	-500.034698
3330	1010.32672	-503.027039
3340	1001.13568	-506.956573
3350	992.382874	-511.784058
3360	984.155701	-517.461243
3370	976.536438	-523.931458
3380	969.601135	-531.129944
3390	963.419189	-538.984863
3400	958.052246	-547.417725
3410	952.867615	-555.964478
3420	946.866333	-563.958313
3430	940.096985	-571.313049
3440	932.627197	-577.955261
3450	924.531616	-583.818542
3460	915.891113	-588.844299
3470	906.792053	-592.982361
3480	897.325317	-596.191406
3490	887.58551	-598.43927
3500	877.669922	-599.703552
3510	867.67749	-599.998413
3520	857.67749	-599.99823
3530	847.67749	-599.998047
3540	837.67749	-599.997864
3550	827.67749	-599.99762
3560	817.67749	-599.997437
3570	807.67749	-599.997253
3580	797.67749	-599.99707
3590	787.67749	-599.996887
3600	777.67749	-599.996704
3610	767.67749	-600.005432
3620	757.680969	-600.249084
3630	747.698059	-600.825745
3640	737.739929	-601.734741
3650	727.817627	-602.975159
3660	717.942139	-604.545593
3670	708.124512	-606.444275
3680	698.37561	-608.669067
3690	688.706299	-611.217529
3700	679.127258	-614.086792
3710	669.64917	-617.273743
3720	660.282532	-620.77478
3730	651.037842	-624.58606
3740	641.925293	-628.703308
3750	632.954956	-633.122009
3760	624.136902	-637.837158
3770	615.480896	-642.843567
3780	606.996582	-648.135681
3790	598.693298	-653.707642
3800	590.580322	-659.553223
3810	582.666687	-665.665894
3820	574.961182	-672.03894
3830	567.472351	-678.665283
3840	560.208496	-685.537476
3850	553.177734	-692.647949
3860	546.387817	-699.988831
3870	539.846375	-707.55188
3880	533.560547	-715.328735
3890	527.537476	-723.31073
3900	521.783691	-731.489075
3910	516.305725	-739.854614
3920	511.109528	-748.398071
3930	506.200989	-757.109985
3940	501.585541	-765.980591
3950	497.26825	-775.000122
3960	493.253998	-784.158508
3970	489.54715	-793.445618
3980	486.151917	-802.851135
3990	483.071991	-812.364502
4000	480.310852	-821.975281
4010	477.871552	-831.672729
4020	475.756775	-841.446106
4030	473.968903	-851.284485
4040	472.509918	-861.177002
4050	471.381409	-871.112671
4060	470.584686	-881.080444
4070	470.120575	-891.069214
4080	469.989624	-901.067871
4090	470.191986	-911.065369
4100	470.727417	-921.050537
4110	471.432007	-931.02478
4120	471.306824	-941.019836
4130	470.184448	-950.952454
4140	468.07608	-960.723389
4150	465.002747	-970.235046
4160	460.995209	-979.392334
4170	456.093475	-988.103821
4180	450.346558	-996.28241
4190	443.811829	-1003.84644
4200	436.554626	-1010.72028
4210	428.64743	-1016.83527
4220	420.16925	-1022.13025
4230	411.204803	-1026.55249
4240	401.843689	-1030.0575
4250	392.179382	-1032.6106
4260	382.343048	-1034.41003
4270	372.50351	-1036.19421
4280	362.67218	-1038.02307
4290	352.849274	-1039.89661
4300	343.035004	-1041.81482
4310	333.229523	-1043.77759
4320	323.433075	-1045.78503
4330	313.645844	-1047.83679
4340	303.868042	-1049.93311
4350	294.099884	-1052.07385
4360	284.341553	-1054.25903
