# format	robotrace-shortcut-course-v1
# course_id	2012alljapan_pre
# source_file	examples/synthetic/2012alljapan_pre.json
# source_hash	b9cb6bca387886a6b380c63112b85fd48e0fa682ad92f4fa794fce2989730df9
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
2870	1149.94312	-1805.84033
2880	1149.58191	-1815.83337
2890	1148.88782	-1825.80884
2900	1147.86157	-1835.75549
2910	1146.50452	-1845.6626
2920	1144.81799	-1855.5188
2930	1142.80396	-1865.31348
2940	1140.4646	-1875.03552
2950	1137.80249	-1884.67419
2960	1134.82068	-1894.21875
2970	1131.52246	-1903.65869
2980	1127.91138	-1912.98352
2990	1123.99158	-1922.18274
3000	1119.76733	-1931.24622
3010	1115.24341	-1940.16382
3020	1110.4248	-1948.92578
3030	1105.31689	-1957.52234
3040	1099.92529	-1965.94373
3050	1094.25598	-1974.18091
3060	1088.31543	-1982.22449
3070	1082.10999	-1990.06567
3080	1075.64673	-1997.69568
3090	1068.93274	-2005.10596
3100	1061.97546	-2012.28845
3110	1054.78284	-2019.23511
3120	1047.36255	-2025.93811
3130	1039.72302	-2032.39014
3140	1031.87268	-2038.58398
3150	1023.82037	-2044.5127
3160	1015.57489	-2050.16992
3170	1007.14545	-2055.54907
3180	998.541443	-2060.64429
3190	989.7724	-2065.44995
3200	980.848083	-2069.96069
3210	971.778381	-2074.17163
3220	962.573364	-2078.07788
3230	953.243286	-2081.67505
3240	943.798523	-2084.95947
3250	934.249512	-2087.927
3260	924.606934	-2090.57495
3270	914.881409	-2092.8999
3280	905.083862	-2094.89966
3290	895.225098	-2096.57153
3300	885.316101	-2097.91406
3310	875.367859	-2098.92554
3320	865.391418	-2099.60498
3330	855.397888	-2099.95142
3340	845.398193	-2100
3350	835.398193	-2100
3360	825.398193	-2100
3370	815.398193	-2100
3380	805.398193	-2100
3390	795.398193	-2100
3400	785.398193	-2100
3410	775.398193	-2100
3420	765.398193	-2100
3430	755.398193	-2100
3440	745.398193	-2100
3450	735.398193	-2100
3460	725.398193	-2100
3470	715.398193	-2100
3480	705.398193	-2100
3490	695.398193	-2100
3500	685.398193	-2100
3510	675.398193	-2100
3520	665.398193	-2100
3530	655.398193	-2100
3540	645.398193	-2100
3550	635.398193	-2100
3560	625.398193	-2100
3570	615.398193	-2100
3580	605.398193	-2100
3590	595.398193	-2100
3600	585.398193	-2100
3610	575.398193	-2100
3620	565.398193	-2100
3630	555.398193	-2100
3640	545.398193	-2100
3650	535.398193	-2100
3660	525.398193	-2100
3670	515.398193	-2100
3680	505.398163	-2100
3690	495.398163	-2100
3700	485.398163	-2100
3710	475.398163	-2100
3720	465.398163	-2100
3730	455.398163	-2100
3740	445.398163	-2100
3750	435.398163	-2100
3760	425.398163	-2100
3770	415.398163	-2100
3780	405.398163	-2100
3790	395.398163	-2100
3800	385.398163	-2100
3810	375.398163	-2100
3820	365.398163	-2100
3830	355.398163	-2100
3840	345.398163	-2100
3850	335.398163	-2100
3860	325.398163	-2100
3870	315.398163	-2100
3880	305.398163	-2100
3890	295.398163	-2100
3900	285.398163	-2100
3910	275.398163	-2100
3920	265.398163	-2100
3930	255.398163	-2100
3940	245.398163	-2100
3950	235.398163	-2100
3960	225.398163	-2100
3970	215.398163	-2100
3980	205.398163	-2100
3990	195.398163	-2100
4000	185.398163	-2100
4010	175.398163	-2100
4020	165.398163	-2100
4030	155.398163	-2100
4040	145.398163	-2100
4050	135.398163	-2100
4060	125.398163	-2100
4070	115.398163	-2100
4080	105.398163	-2100
4090	95.3981628	-2100
4100	85.3981628	-2100
4110	75.3981628	-2100
4120	65.3981628	-2100
4130	55.3981628	-2100
4140	45.3981628	-2100
4150	35.3981628	-2100
4160	25.3981628	-2100
4170	15.3981638	-2100
4180	5.39816332	-2100
4190	-4.60183668	-2100
4200	-14.6018362	-2100
4210	-24.6018372	-2100
4220	-34.6018372	-2100
4230	-44.6018372	-2100
4240	-54.6018372	-2100
4250	-64.6018372	-2100
4260	-74.6018372	-2100
4270	-84.6018372	-2100
4280	-94.6018372	-2100
4290	-104.601837	-2100
4300	-114.601837	-2100
4310	-124.601837	-2100
4320	-134.601837	-2100
4330	-144.601837	-2100
4340	-154.601425	-2099.94702
4350	-164.588867	-2099.46729
4360	-174.539841	-2098.48877
4370	-184.429474	-2097.01416
4380	-194.233063	-2095.04736
4390	-203.926071	-2092.59277
4400	-213.484314	-2089.65698
4410	-222.883865	-2086.24707
4420	-232.101257	-2082.37158
4430	-241.113419	-2078.04028
4440	-249.897858	-2073.26392
