# format	robotrace-shortcut-course-v1
# course_id	2025kansai
# source_file	examples/synthetic/2025kansai.json
# source_hash	3fba41f5cb6c18c170753adaedefe5e98d896bde0f302cd02197e4860108fcf6
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
2290	-618.835266	-512.218994
2300	-609.364136	-509.013336
2310	-599.744568	-506.285065
2320	-590.000671	-504.040955
2330	-580.15686	-502.286652
2340	-570.23761	-501.02655
2350	-560.267761	-500.263733
2360	-550.272278	-500.000183
2370	-540.276123	-500.236511
2380	-530.30426	-500.972168
2390	-520.381653	-502.205261
2400	-510.533051	-503.93277
2410	-500.783081	-506.15033
2420	-491.156158	-508.852417
2430	-481.6763	-512.032288
2440	-472.367218	-515.681946
2450	-463.252167	-519.792297
2460	-454.353943	-524.353088
2470	-445.694794	-529.352905
2480	-437.296356	-534.779297
2490	-429.179596	-540.618591
2500	-421.364838	-546.856262
2510	-413.871613	-553.476746
2520	-406.718628	-560.46344
2530	-399.923767	-567.798889
2540	-393.504028	-575.464844
2550	-387.475433	-583.442017
2560	-381.853088	-591.71051
2570	-376.651001	-600.249695
2580	-371.882202	-609.038208
2590	-367.558624	-618.054016
2600	-363.69104	-627.274719
2610	-360.289124	-636.677185
2620	-357.361389	-646.237915
2630	-354.915131	-655.932983
2640	-352.956512	-665.738281
2650	-351.490387	-675.62915
2660	-350.520447	-685.580933
2670	-350.049103	-695.568787
2680	-350	-705.56842
2690	-350	-715.56842
2700	-350	-725.56842
2710	-350	-735.56842
2720	-350	-745.56842
2730	-350	-755.56842
2740	-350	-765.56842
2750	-350	-775.56842
2760	-350	-785.56842
2770	-350	-795.56842
2780	-350	-805.56842
2790	-350	-815.56842
2800	-350	-825.56842
2810	-350	-835.56842
2820	-350	-845.56842
2830	-350	-855.56842
2840	-350	-865.56842
2850	-350	-875.56842
2860	-350	-885.56842
2870	-350	-895.56842
2880	-350	-905.56842
2890	-350	-915.56842
2900	-350	-925.56842
2910	-350	-935.56842
2920	-350	-945.56842
2930	-350	-955.56842
2940	-350	-965.56842
2950	-350	-975.56842
2960	-350	-985.56842
2970	-350	-995.56842
2980	-350	-1005.56842
2990	-350	-1015.56842
3000	-350	-1025.56848
3010	-350	-1035.56848
3020	-350	-1045.56848
3030	-350	-1055.56848
3040	-350	-1065.56848
3050	-350	-1075.56848
3060	-350	-1085.56848
3070	-350	-1095.56848
3080	-350	-1105.56848
3090	-350	-1115.56848
3100	-350	-1125.56848
3110	-350	-1135.56848
3120	-350	-1145.56848
3130	-350	-1155.56848
3140	-350	-1165.56848
3150	-350	-1175.56848
3160	-350	-1185.56848
3170	-350	-1195.56848
3180	-350	-1205.56848
3190	-350	-1215.56848
3200	-350	-1225.56848
3210	-350	-1235.56848
3220	-350	-1245.56848
3230	-350	-1255.56848
3240	-350	-1265.56848
3250	-350	-1275.56848
3260	-350	-1285.56848
3270	-350	-1295.56848
3280	-350	-1305.56848
3290	-350	-1315.56848
3300	-350	-1325.56848
3310	-350	-1335.56848
3320	-350	-1345.56848
3330	-350	-1355.56848
3340	-350	-1365.56848
3350	-350	-1375.56848
3360	-350	-1385.56848
3370	-350	-1395.56848
3380	-350	-1405.56848
3390	-350	-1415.56848
3400	-350	-1425.56848
3410	-350	-1435.56848
3420	-350	-1445.56848
3430	-350	-1455.56848
3440	-350	-1465.56848
3450	-350	-1475.56848
3460	-350	-1485.56848
3470	-350	-1495.56848
3480	-350	-1505.56848
3490	-350	-1515.56848
3500	-350	-1525.56848
3510	-350	-1535.56848
3520	-350	-1545.56848
3530	-350	-1555.56848
3540	-350	-1565.56848
3550	-350	-1575.56848
3560	-350	-1585.56848
3570	-350	-1595.56848
3580	-350	-1605.56848
3590	-350	-1615.56848
3600	-350	-1625.56848
3610	-350	-1635.56848
3620	-350	-1645.56848
3630	-350	-1655.56848
3640	-350	-1665.56848
3650	-350	-1675.56848
3660	-350	-1685.56848
3670	-350	-1695.56848
3680	-350	-1705.56848
3690	-350	-1715.56848
3700	-350	-1725.56848
3710	-350	-1735.56848
3720	-350	-1745.56848
3730	-350	-1755.56848
3740	-350	-1765.56848
3750	-350	-1775.56848
3760	-350	-1785.56848
3770	-350	-1795.56848
3780	-350	-1805.56848
3790	-350	-1815.56848
3800	-350	-1825.56848
3810	-350	-1835.56848
3820	-350	-1845.56848
3830	-350	-1855.56848
3840	-350	-1865.56848
3850	-350	-1875.56848
3860	-350	-1885.56848
3870	-350	-1895.56848
3880	-350	-1905.56848
3890	-350	-1915.56848
3900	-350	-1925.56848
3910	-350	-1935.56848
3920	-350	-1945.56848
3930	-350	-1955.56848
3940	-350	-1965.56848
3950	-350	-1975.56848
3960	-350	-1985.56848
3970	-350	-1995.56848
3980	-350	-2005.56848
3990	-350	-2015.56848
4000	-350	-2025.56848
4010	-350	-2035.56848
4020	-350	-2045.56848
4030	-350	-2055.56836
4040	-350	-2065.56836
4050	-350	-2075.56836
