# format	robotrace-shortcut-course-v1
# course_id	2013alljapan_pre
# source_file	examples/synthetic/2013alljapan_pre.json
# source_hash	fe3e7db3b0d6a406580611db0246c2fbf0cd40c935f1033c2b4551f30e6d4960
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
2820	544.886841	1673.7467
2830	538.77063	1681.65686
2840	533.057434	1689.86292
2850	527.761536	1698.34424
2860	522.896118	1707.07959
2870	518.473328	1716.04724
2880	514.504333	1725.22461
2890	510.998932	1734.58899
2900	507.965942	1744.11694
2910	505.412933	1753.78442
2920	503.346313	1763.5675
2930	501.77121	1773.44165
2940	500.691589	1783.38208
2950	500.110107	1793.36414
2960	499.971741	1803.36279
2970	499.553741	1813.35303
2980	498.636993	1823.30981
2990	497.223724	1833.20837
3000	495.317535	1843.02405
3010	492.923126	1852.73206
3020	490.046509	1862.30823
3030	486.694885	1871.72876
3040	482.876617	1880.96997
3050	478.601257	1890.00879
3060	473.879486	1898.82263
3070	468.723114	1907.38953
3080	463.14502	1915.68799
3090	457.159149	1923.69727
3100	450.780457	1931.39734
3110	444.024872	1938.76904
3120	436.909332	1945.79382
3130	429.451569	1952.45422
3140	421.670258	1958.73352
3150	413.584839	1964.61621
3160	405.215515	1970.08728
3170	396.583191	1975.1333
3180	387.709473	1979.74158
3190	378.616516	1983.90063
3200	369.327057	1987.59998
3210	359.864319	1990.83044
3220	350.251984	1993.58398
3230	340.514008	1995.85352
3240	330.674774	1997.63367
3250	320.758881	1998.9198
3260	310.791077	1999.70862
3270	300.796326	1999.99841
3280	290.799561	1999.78821
3290	280.825836	1999.07874
3300	270.899994	1997.8717
3310	261.046906	1996.16992
3320	251.291168	1993.97791
3330	241.657181	1991.30115
3340	232.169022	1988.14612
3350	222.850418	1984.52087
3360	213.724625	1980.43433
3370	204.814499	1975.89685
3380	196.142273	1970.9198
3390	187.701126	1965.55884
3400	179.299561	1960.1355
3410	170.897995	1954.71204
3420	162.496429	1949.28857
3430	154.094864	1943.86511
3440	145.693298	1938.44165
3450	137.291733	1933.01831
3460	128.890167	1927.59485
3470	120.488602	1922.17139
3480	112.087036	1916.74792
3490	103.685471	1911.32446
3500	95.283905	1905.901
3510	86.8823395	1900.47766
3520	78.4807739	1895.0542
3530	70.0792084	1889.63074
3540	61.6776466	1884.20728
3550	53.2760811	1878.78381
3560	44.8745155	1873.36035
3570	36.47295	1867.93701
